,Date,Score Type,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Notes
332,7:00 PM,Box Score,Charlotte Bobcats,94,Indiana Pacers,99,,
333,8:30 PM,Box Score,Chicago Bulls,91,Milwaukee Bucks,90,,
334,8:00 PM,Box Score,Memphis Grizzlies,98,New Orleans Pelicans,104,,
335,8:00 PM,Box Score,Los Angeles Lakers,97,Oklahoma City Thunder,122,,
336,7:00 PM,Box Score,Cleveland Cavaliers,109,Orlando Magic,100,,
337,9:00 PM,Box Score,Sacramento Kings,107,Phoenix Suns,116,,
338,8:30 PM,Box Score,Minnesota Timberwolves,110,San Antonio Spurs,117,,
339,7:00 PM,Box Score,Philadelphia 76ers,100,Toronto Raptors,108,,
340,7:00 PM,Box Score,Los Angeles Lakers,88,Charlotte Bobcats,85,,
341,8:00 PM,Box Score,Toronto Raptors,99,Chicago Bulls,77,,
342,8:30 PM,Box Score,Milwaukee Bucks,93,Dallas Mavericks,106,,
343,7:30 PM,Box Score,Cleveland Cavaliers,107,Miami Heat,114,,
344,7:30 PM,Box Score,Atlanta Hawks,106,New York Knicks,111,,
345,8:00 PM,Box Score,Portland Trail Blazers,139,Philadelphia 76ers,105,,
346,9:00 PM,Box Score,San Antonio Spurs,100,Utah Jazz,84,,
347,7:00 PM,Box Score,Los Angeles Clippers,113,Washington Wizards,97,,
348,8:00 PM,Box Score,New Orleans Pelicans,93,Denver Nuggets,102,,
349,6:00 PM,Box Score,Portland Trail Blazers,111,Detroit Pistons,109,OT,
350,6:00 PM,Box Score,Minnesota Timberwolves,101,Memphis Grizzlies,93,,
351,7:00 PM,Box Score,Orlando Magic,98,Oklahoma City Thunder,101,,
352,8:00 PM,Box Score,Golden State Warriors,102,Phoenix Suns,106,,
353,6:00 PM,Box Score,Houston Rockets,91,Sacramento Kings,106,,
354,7:30 PM,Box Score,Los Angeles Lakers,100,Atlanta Hawks,114,,
355,7:30 PM,Box Score,Minnesota Timberwolves,97,Boston Celtics,101,,
356,7:30 PM,Box Score,Philadelphia 76ers,94,Brooklyn Nets,130,,
357,8:00 PM,Box Score,Orlando Magic,83,Chicago Bulls,82,,
358,7:00 PM,Box Score,Detroit Pistons,101,Indiana Pacers,96,,
359,10:30 PM,Box Score,San Antonio Spurs,92,Los Angeles Clippers,115,,
360,7:30 PM,Box Score,Utah Jazz,94,Miami Heat,117,,
361,7:30 PM,Box Score,Washington Wizards,102,New York Knicks,101,,
362,7:00 PM,Box Score,Sacramento Kings,87,Charlotte Bobcats,95,,
363,7:00 PM,Box Score,Portland Trail Blazers,119,Cleveland Cavaliers,116,,
364,9:00 PM,Box Score,Oklahoma City Thunder,105,Denver Nuggets,93,,
365,10:30 PM,Box Score,New Orleans Pelicans,93,Golden State Warriors,104,,
366,8:00 PM,Box Score,Los Angeles Lakers,96,Memphis Grizzlies,92,,
367,7:30 PM,Box Score,Sacramento Kings,107,Atlanta Hawks,124,,
368,7:30 PM,Box Score,Detroit Pistons,107,Boston Celtics,106,,
369,7:30 PM,Box Score,Washington Wizards,113,Brooklyn Nets,107,,
370,8:30 PM,Box Score,Memphis Grizzlies,91,Dallas Mavericks,105,,
371,9:30 PM,Box Score,Chicago Bulls,94,Houston Rockets,109,,
372,10:30 PM,Box Score,New Orleans Pelicans,95,Los Angeles Clippers,108,,
373,7:00 PM,Box Score,Indiana Pacers,94,Miami Heat,97,,
374,8:00 PM,Box Score,New York Knicks,107,Milwaukee Bucks,101,2OT,
375,8:00 PM,Box Score,Portland Trail Blazers,109,Minnesota Timberwolves,120,,
376,7:00 PM,Box Score,Utah Jazz,86,Orlando Magic,82,,
377,9:00 PM,Box Score,San Antonio Spurs,108,Phoenix Suns,101,,
378,7:00 PM,Box Score,Charlotte Bobcats,104,Toronto Raptors,102,OT,
379,10:30 PM,Box Score,San Antonio Spurs,104,Golden State Warriors,102,,
380,8:00 PM,Box Score,Chicago Bulls,95,Oklahoma City Thunder,107,,
381,7:30 PM,Box Score,Utah Jazz,85,Atlanta Hawks,118,,
382,7:30 PM,Box Score,Milwaukee Bucks,111,Cleveland Cavaliers,114,OT,
383,8:30 PM,Box Score,Toronto Raptors,109,Dallas Mavericks,108,OT,
384,9:00 PM,Box Score,Phoenix Suns,103,Denver Nuggets,99,,
385,7:30 PM,Box Score,Charlotte Bobcats,116,Detroit Pistons,106,,
386,8:00 PM,Box Score,Houston Rockets,81,Indiana Pacers,114,,
387,10:30 PM,Box Score,Minnesota Timberwolves,91,Los Angeles Lakers,104,,
388,7:30 PM,Box Score,Sacramento Kings,103,Miami Heat,122,,
389,7:00 PM,Box Score,Brooklyn Nets,120,Philadelphia 76ers,121,OT,
390,1:00 PM,Box Score,Washington Wizards,106,Boston Celtics,99,,
391,7:30 PM,Box Score,Utah Jazz,88,Charlotte Bobcats,85,,
392,8:00 PM,Box Score,Cleveland Cavaliers,84,Chicago Bulls,100,,
393,7:30 PM,Box Score,Houston Rockets,114,Detroit Pistons,97,,
394,10:30 PM,Box Score,Los Angeles Lakers,83,Golden State Warriors,102,,
395,10:30 PM,Box Score,Denver Nuggets,91,Los Angeles Clippers,112,,
396,8:30 PM,Box Score,Philadelphia 76ers,106,Milwaukee Bucks,116,,
397,12:00 AM,Box Score,Memphis Grizzlies,95,New York Knicks,87,,
398,7:00 PM,Box Score,Sacramento Kings,105,Orlando Magic,100,,
399,9:00 PM,Box Score,Dallas Mavericks,108,Phoenix Suns,123,,
400,10:00 PM,Box Score,New Orleans Pelicans,107,Portland Trail Blazers,110,,
401,8:30 PM,Box Score,Oklahoma City Thunder,113,San Antonio Spurs,100,,
402,6:00 PM,Box Score,Boston Celtics,79,Indiana Pacers,106,,
403,9:30 PM,Box Score,Minnesota Timberwolves,116,Los Angeles Clippers,120,OT,
404,7:00 PM,Box Score,Toronto Raptors,104,Oklahoma City Thunder,98,,
405,7:30 PM,Box Score,Indiana Pacers,103,Brooklyn Nets,86,,
406,7:00 PM,Box Score,Milwaukee Bucks,110,Charlotte Bobcats,111,OT,
407,7:00 PM,Box Score,Detroit Pistons,115,Cleveland Cavaliers,92,,
408,9:00 PM,Box Score,Golden State Warriors,89,Denver Nuggets,81,,
409,8:00 PM,Box Score,Dallas Mavericks,111,Houston Rockets,104,,
410,8:00 PM,Box Score,Utah Jazz,94,Memphis Grizzlies,104,,
411,7:30 PM,Box Score,Atlanta Hawks,119,Miami Heat,121,OT,
412,7:00 PM,Box Score,New York Knicks,103,Orlando Magic,98,,
413,9:00 PM,Box Score,Los Angeles Lakers,90,Phoenix Suns,117,,
414,10:00 PM,Box Score,New Orleans Pelicans,113,Sacramento Kings,100,,
415,8:30 PM,Box Score,Toronto Raptors,99,San Antonio Spurs,112,,
416,12:00 AM,Box Score,Chicago Bulls,95,Brooklyn Nets,78,,
417,10:30 PM,Box Score,Los Angeles Clippers,103,Golden State Warriors,105,,
418,5:00 PM,Box Score,Miami Heat,101,Los Angeles Lakers,95,,
419,2:30 PM,Box Score,Oklahoma City Thunder,123,New York Knicks,94,,
420,8:00 PM,Box Score,Houston Rockets,111,San Antonio Spurs,98,,
421,7:00 PM,Box Score,Atlanta Hawks,127,Cleveland Cavaliers,125,2OT,
422,8:30 PM,Box Score,San Antonio Spurs,116,Dallas Mavericks,107,,
423,8:00 PM,Box Score,Memphis Grizzlies,92,Houston Rockets,100,,
424,10:30 PM,Box Score,Los Angeles Clippers,112,Portland Trail Blazers,116,OT,
425,7:30 PM,Box Score,Milwaukee Bucks,93,Brooklyn Nets,104,,
426,7:00 PM,Box Score,Oklahoma City Thunder,89,Charlotte Bobcats,85,,
427,10:30 PM,Box Score,Phoenix Suns,86,Golden State Warriors,115,,
428,8:00 PM,Box Score,Washington Wizards,98,Minnesota Timberwolves,120,,
429,8:00 PM,Box Score,Denver Nuggets,89,New Orleans Pelicans,105,,
430,7:30 PM,Box Score,Toronto Raptors,95,New York Knicks,83,,
431,7:00 PM,Box Score,Detroit Pistons,92,Orlando Magic,109,,
432,10:00 PM,Box Score,Miami Heat,103,Sacramento Kings,108,OT,
433,9:00 PM,Box Score,Los Angeles Lakers,103,Utah Jazz,105,,
434,7:30 PM,Box Score,Charlotte Bobcats,116,Atlanta Hawks,118,OT,
435,1:00 PM,Box Score,Cleveland Cavaliers,100,Boston Celtics,103,,
436,8:00 PM,Box Score,Dallas Mavericks,105,Chicago Bulls,83,,
437,8:00 PM,Box Score,New Orleans Pelicans,98,Houston Rockets,107,,
438,7:00 PM,Box Score,Brooklyn Nets,91,Indiana Pacers,105,,
439,10:30 PM,Box Score,Utah Jazz,90,Los Angeles Clippers,98,,
440,8:00 PM,Box Score,Denver Nuggets,99,Memphis Grizzlies,120,,
441,8:30 PM,Box Score,Minnesota Timberwolves,117,Milwaukee Bucks,95,,
442,9:00 PM,Box Score,Philadelphia 76ers,101,Phoenix Suns,115,,
443,10:00 PM,Box Score,Miami Heat,108,Portland Trail Blazers,107,,
444,7:00 PM,Box Score,New York Knicks,100,Toronto Raptors,115,,
445,7:00 PM,Box Score,Detroit Pistons,82,Washington Wizards,106,,
446,6:00 PM,Box Score,Golden State Warriors,108,Cleveland Cavaliers,104,OT,
447,9:30 PM,Box Score,Philadelphia 76ers,111,Los Angeles Lakers,104,,
448,7:00 PM,Box Score,Houston Rockets,86,Oklahoma City Thunder,117,,
449,6:00 PM,Box Score,Atlanta Hawks,102,Orlando Magic,109,,
450,7:00 PM,Box Score,Sacramento Kings,104,San Antonio Spurs,112,,
451,9:00 PM,Box Score,Miami Heat,97,Denver Nuggets,94,,
452,7:30 PM,Box Score,Washington Wizards,106,Detroit Pistons,99,,
453,10:30 PM,Box Score,Phoenix Suns,107,Los Angeles Clippers,88,,
454,8:00 PM,Box Score,Chicago Bulls,95,Memphis Grizzlies,91,,
455,8:00 PM,Box Score,Dallas Mavericks,100,Minnesota Timberwolves,98,,
456,8:00 PM,Box Score,Portland Trail Blazers,108,New Orleans Pelicans,110,,
457,9:00 PM,Box Score,Charlotte Bobcats,80,Utah Jazz,83,,
458,1:00 PM,Box Score,Atlanta Hawks,92,Boston Celtics,91,,
459,8:00 PM,Box Score,Toronto Raptors,85,Chicago Bulls,79,,
460,7:00 PM,Box Score,Sacramento Kings,110,Houston Rockets,106,,
461,3:00 PM,Box Score,Cleveland Cavaliers,76,Indiana Pacers,91,,
462,10:30 PM,Box Score,Milwaukee Bucks,94,Los Angeles Lakers,79,,
463,8:00 PM,Box Score,Portland Trail Blazers,98,Oklahoma City Thunder,94,,
464,5:00 PM,Box Score,Golden State Warriors,94,Orlando Magic,81,,
465,7:00 PM,Box Score,Brooklyn Nets,92,San Antonio Spurs,113,,
466,9:00 PM,Box Score,Philadelphia 76ers,114,Denver Nuggets,102,,
467,9:30 PM,Box Score,Charlotte Bobcats,85,Los Angeles Clippers,112,,
468,8:00 PM,Box Score,New Orleans Pelicans,112,Minnesota Timberwolves,124,,
469,7:00 PM,Box Score,Indiana Pacers,82,Toronto Raptors,95,,
470,6:00 PM,Box Score,Dallas Mavericks,87,Washington Wizards,78,,
471,8:00 PM,Box Score,Boston Celtics,82,Chicago Bulls,94,,
472,7:00 PM,Box Score,Orlando Magic,81,Cleveland Cavaliers,87,OT,
473,7:30 PM,Box Score,Golden State Warriors,123,Miami Heat,114,,
474,8:00 PM,Box Score,Brooklyn Nets,95,Oklahoma City Thunder,93,,
475,9:00 PM,Box Score,Memphis Grizzlies,99,Phoenix Suns,91,,
476,10:00 PM,Box Score,Charlotte Bobcats,104,Portland Trail Blazers,134,,
477,10:00 PM,Box Score,Philadelphia 76ers,113,Sacramento Kings,104,,
478,8:30 PM,Box Score,New York Knicks,105,San Antonio Spurs,101,,
479,9:00 PM,Box Score,Milwaukee Bucks,87,Utah Jazz,96,,
480,7:30 PM,Box Score,Golden State Warriors,101,Atlanta Hawks,100,,
481,7:30 PM,Box Score,New Orleans Pelicans,95,Boston Celtics,92,,
482,8:30 PM,Box Score,Los Angeles Clippers,119,Dallas Mavericks,112,,
483,9:00 PM,Box Score,Memphis Grizzlies,108,Denver Nuggets,111,,
484,8:00 PM,Box Score,New York Knicks,100,Houston Rockets,102,,
485,10:30 PM,Box Score,Utah Jazz,99,Los Angeles Lakers,110,,
486,7:00 PM,Box Score,Toronto Raptors,101,Washington Wizards,88,,
487,7:30 PM,Box Score,Cleveland Cavaliers,82,Brooklyn Nets,89,,
488,8:00 PM,Box Score,Atlanta Hawks,84,Chicago Bulls,91,,
489,7:00 PM,Box Score,New Orleans Pelicans,82,Indiana Pacers,99,,
490,8:00 PM,Box Score,Oklahoma City Thunder,115,Minnesota Timberwolves,111,,
491,7:00 PM,Box Score,Miami Heat,110,Orlando Magic,94,,
492,9:00 PM,Box Score,Milwaukee Bucks,100,Phoenix Suns,116,,
493,10:00 PM,Box Score,Philadelphia 76ers,101,Portland Trail Blazers,99,,
494,10:00 PM,Box Score,Charlotte Bobcats,113,Sacramento Kings,103,,
495,8:30 PM,Box Score,Los Angeles Clippers,92,San Antonio Spurs,116,,
496,6:00 PM,Box Score,Indiana Pacers,82,Cleveland Cavaliers,78,,
497,7:30 PM,Box Score,New York Knicks,92,Dallas Mavericks,80,,
498,1:00 PM,Box Score,Memphis Grizzlies,112,Detroit Pistons,84,,
499,9:30 PM,Box Score,Denver Nuggets,137,Los Angeles Lakers,115,,
500,6:00 PM,Box Score,Toronto Raptors,97,Miami Heat,102,,
501,7:00 PM,Box Score,Boston Celtics,96,Oklahoma City Thunder,119,,
502,6:00 PM,Box Score,Golden State Warriors,112,Washington Wizards,96,,
503,7:30 PM,Box Score,Atlanta Hawks,86,Brooklyn Nets,91,,
504,10:30 PM,Box Score,Orlando Magic,81,Los Angeles Clippers,101,,
505,7:00 PM,Box Score,Minnesota Timberwolves,126,Philadelphia 76ers,95,,
506,7:00 PM,Box Score,Washington Wizards,97,Charlotte Bobcats,83,,
507,8:00 PM,Box Score,Phoenix Suns,87,Chicago Bulls,92,,
508,7:00 PM,Box Score,Philadelphia 76ers,93,Cleveland Cavaliers,111,,
509,8:30 PM,Box Score,Los Angeles Lakers,97,Dallas Mavericks,110,,
510,9:00 PM,Box Score,Boston Celtics,98,Denver Nuggets,129,,
511,7:00 PM,Box Score,Toronto Raptors,79,Indiana Pacers,86,,
512,8:00 PM,Box Score,San Antonio Spurs,110,Memphis Grizzlies,108,OT,
513,7:30 PM,Box Score,New Orleans Pelicans,88,Miami Heat,107,,
514,8:00 PM,Box Score,Golden State Warriors,101,Milwaukee Bucks,80,,
515,7:30 PM,Box Score,Detroit Pistons,85,New York Knicks,89,,
516,10:00 PM,Box Score,Portland Trail Blazers,119,Sacramento Kings,123,,
517,9:00 PM,Box Score,Oklahoma City Thunder,101,Utah Jazz,112,,
518,7:30 PM,Box Score,Indiana Pacers,87,Atlanta Hawks,97,,
519,7:30 PM,Box Score,Golden State Warriors,98,Brooklyn Nets,102,,
520,8:00 PM,Box Score,Los Angeles Lakers,99,Houston Rockets,113,,
521,10:30 PM,Box Score,Boston Celtics,105,Los Angeles Clippers,111,,
522,9:30 PM,Box Score,Phoenix Suns,104,Minnesota Timberwolves,103,,
523,8:00 PM,Box Score,Washington Wizards,102,New Orleans Pelicans,96,,
524,10:00 PM,Box Score,Orlando Magic,94,Portland Trail Blazers,110,,
525,7:00 PM,Box Score,Dallas Mavericks,90,San Antonio Spurs,112,,
526,7:00 PM,Box Score,Detroit Pistons,91,Toronto Raptors,112,,
527,10:30 PM,Box Score,Oklahoma City Thunder,88,Denver Nuggets,101,,
528,8:00 PM,Box Score,Miami Heat,92,New York Knicks,102,,
529,7:30 PM,Box Score,Houston Rockets,80,Atlanta Hawks,83,,
530,8:00 PM,Box Score,Miami Heat,95,Brooklyn Nets,104,2OT,
531,10:30 PM,Box Score,Boston Celtics,97,Golden State Warriors,99,,
532,7:00 PM,Box Score,Washington Wizards,66,Indiana Pacers,93,,
533,10:30 PM,Box Score,Los Angeles Lakers,87,Los Angeles Clippers,123,,
534,8:00 PM,Box Score,Phoenix Suns,99,Memphis Grizzlies,104,,
535,8:30 PM,Box Score,Chicago Bulls,81,Milwaukee Bucks,72,,
536,8:00 PM,Box Score,Charlotte Bobcats,92,Minnesota Timberwolves,119,,
537,8:00 PM,Box Score,Dallas Mavericks,107,New Orleans Pelicans,90,,
538,7:00 PM,Box Score,Detroit Pistons,114,Philadelphia 76ers,104,,
539,10:00 PM,Box Score,Orlando Magic,83,Sacramento Kings,103,,
540,9:00 PM,Box Score,Cleveland Cavaliers,113,Utah Jazz,102,,
541,8:00 PM,Box Score,Charlotte Bobcats,97,Chicago Bulls,103,,
542,8:30 PM,Box Score,New Orleans Pelicans,107,Dallas Mavericks,110,,
543,9:00 PM,Box Score,Orlando Magic,94,Denver Nuggets,120,,
544,7:30 PM,Box Score,Phoenix Suns,108,Detroit Pistons,110,,
545,8:00 PM,Box Score,Milwaukee Bucks,85,Oklahoma City Thunder,101,,
546,7:30 PM,Box Score,New York Knicks,102,Philadelphia 76ers,92,,
547,10:00 PM,Box Score,Boston Celtics,104,Portland Trail Blazers,112,,
548,7:00 PM,Box Score,Brooklyn Nets,80,Toronto Raptors,96,,
549,7:00 PM,Box Score,Houston Rockets,114,Washington Wizards,107,,
550,6:00 PM,Box Score,Atlanta Hawks,101,Memphis Grizzlies,108,,
551,6:00 PM,Box Score,Cleveland Cavaliers,80,Sacramento Kings,124,,
552,7:00 PM,Box Score,Minnesota Timberwolves,86,San Antonio Spurs,104,,
553,7:30 PM,Box Score,Houston Rockets,104,Boston Celtics,92,,
554,8:00 PM,Box Score,Washington Wizards,102,Chicago Bulls,88,,
555,8:30 PM,Box Score,Orlando Magic,88,Dallas Mavericks,107,,
556,8:00 PM,Box Score,San Antonio Spurs,101,New Orleans Pelicans,95,,
557,7:30 PM,Box Score,Phoenix Suns,96,New York Knicks,98,OT,
558,7:00 PM,Box Score,Milwaukee Bucks,94,Toronto Raptors,116,,
559,9:00 PM,Box Score,Denver Nuggets,103,Utah Jazz,118,,
560,7:00 PM,Box Score,New York Knicks,98,Charlotte Bobcats,108,,
561,7:00 PM,Box Score,Sacramento Kings,92,Indiana Pacers,116,,
562,10:30 PM,Box Score,Cleveland Cavaliers,120,Los Angeles Lakers,118,,
563,8:00 PM,Box Score,Oklahoma City Thunder,87,Memphis Grizzlies,90,,
564,7:30 PM,Box Score,Toronto Raptors,83,Boston Celtics,88,,
565,10:30 PM,Box Score,Denver Nuggets,123,Golden State Warriors,116,,
566,10:30 PM,Box Score,Dallas Mavericks,127,Los Angeles Clippers,129,,
567,8:00 PM,Box Score,Memphis Grizzlies,82,Milwaukee Bucks,77,,
568,8:00 PM,Box Score,Sacramento Kings,111,Minnesota Timberwolves,108,,
569,8:00 PM,Box Score,Houston Rockets,103,New Orleans Pelicans,100,,
570,7:00 PM,Box Score,Chicago Bulls,128,Orlando Magic,125,3OT,
571,7:00 PM,Box Score,Charlotte Bobcats,92,Philadelphia 76ers,95,,
572,9:00 PM,Box Score,Los Angeles Lakers,114,Phoenix Suns,121,,
573,10:00 PM,Box Score,Cleveland Cavaliers,96,Portland Trail Blazers,108,,
574,8:00 PM,Box Score,Utah Jazz,105,San Antonio Spurs,109,,
575,7:00 PM,Box Score,Miami Heat,97,Washington Wizards,114,,
576,3:00 PM,Box Score,Brooklyn Nets,127,Atlanta Hawks,110,,"at London, England"
577,9:30 PM,Box Score,Oklahoma City Thunder,104,Houston Rockets,92,,
578,7:00 PM,Box Score,New York Knicks,89,Indiana Pacers,117,,
579,7:30 PM,Box Score,Los Angeles Lakers,107,Boston Celtics,104,,
580,9:00 PM,Box Score,Cleveland Cavaliers,117,Denver Nuggets,109,,
581,7:30 PM,Box Score,Utah Jazz,110,Detroit Pistons,89,,
582,8:00 PM,Box Score,Sacramento Kings,90,Memphis Grizzlies,91,,
583,7:00 PM,Box Score,Los Angeles Clippers,109,New York Knicks,95,,
584,9:30 PM,Box Score,Golden State Warriors,121,Oklahoma City Thunder,127,,
585,7:00 PM,Box Score,Charlotte Bobcats,111,Orlando Magic,101,,
586,7:00 PM,Box Score,Miami Heat,101,Philadelphia 76ers,86,,
587,9:00 PM,Box Score,Dallas Mavericks,110,Phoenix Suns,107,,
588,8:30 PM,Box Score,Portland Trail Blazers,109,San Antonio Spurs,100,,
589,7:00 PM,Box Score,Minnesota Timberwolves,89,Toronto Raptors,94,,
590,7:00 PM,Box Score,Chicago Bulls,93,Washington Wizards,96,,
591,7:30 PM,Box Score,Miami Heat,104,Charlotte Bobcats,96,OT,
592,8:00 PM,Box Score,Philadelphia 76ers,78,Chicago Bulls,103,,
593,8:30 PM,Box Score,Portland Trail Blazers,127,Dallas Mavericks,111,,
594,8:00 PM,Box Score,Milwaukee Bucks,104,Houston Rockets,114,,
595,7:00 PM,Box Score,Los Angeles Clippers,92,Indiana Pacers,106,,
596,8:00 PM,Box Score,Utah Jazz,72,Minnesota Timberwolves,98,,
597,8:00 PM,Box Score,Golden State Warriors,97,New Orleans Pelicans,87,,
598,7:00 PM,Box Score,Detroit Pistons,104,Washington Wizards,98,,
599,7:00 PM,Box Score,Sacramento Kings,93,Oklahoma City Thunder,108,,
600,6:00 PM,Box Score,Boston Celtics,91,Orlando Magic,93,,
601,8:00 PM,Box Score,Denver Nuggets,103,Phoenix Suns,117,,
602,7:00 PM,Box Score,Milwaukee Bucks,82,San Antonio Spurs,110,,
603,1:00 PM,Box Score,Los Angeles Lakers,112,Toronto Raptors,106,,
604,5:30 PM,Box Score,Miami Heat,114,Atlanta Hawks,121,,
605,2:00 PM,Box Score,Toronto Raptors,95,Charlotte Bobcats,100,,
606,8:00 PM,Box Score,Los Angeles Lakers,100,Chicago Bulls,102,OT,
607,1:00 PM,Box Score,Dallas Mavericks,102,Cleveland Cavaliers,97,,
608,1:00 PM,Box Score,Los Angeles Clippers,112,Detroit Pistons,103,,
609,10:30 PM,Box Score,Indiana Pacers,102,Golden State Warriors,94,,
610,8:00 PM,Box Score,Portland Trail Blazers,113,Houston Rockets,126,,
611,5:00 PM,Box Score,New Orleans Pelicans,95,Memphis Grizzlies,92,,
612,2:30 PM,Box Score,Brooklyn Nets,103,New York Knicks,80,,
613,2:00 PM,Box Score,Philadelphia 76ers,99,Washington Wizards,107,,
614,7:30 PM,Box Score,Orlando Magic,90,Brooklyn Nets,101,,
615,7:30 PM,Box Score,Boston Celtics,86,Miami Heat,93,,
616,8:00 PM,Box Score,Sacramento Kings,114,New Orleans Pelicans,97,,
617,8:00 PM,Box Score,Portland Trail Blazers,97,Oklahoma City Thunder,105,,
618,9:00 PM,Box Score,Minnesota Timberwolves,112,Utah Jazz,97,,
619,7:00 PM,Box Score,Los Angeles Clippers,91,Charlotte Bobcats,95,,
620,7:00 PM,Box Score,Chicago Bulls,98,Cleveland Cavaliers,87,,
621,8:00 PM,Box Score,Sacramento Kings,98,Houston Rockets,119,,
622,8:00 PM,Box Score,Detroit Pistons,101,Milwaukee Bucks,104,,
623,7:30 PM,Box Score,Philadelphia 76ers,110,New York Knicks,106,,
624,7:00 PM,Box Score,Atlanta Hawks,112,Orlando Magic,109,,
625,10:30 PM,Box Score,Indiana Pacers,100,Phoenix Suns,124,,
626,8:00 PM,Box Score,Oklahoma City Thunder,111,San Antonio Spurs,105,,
627,7:00 PM,Box Score,Dallas Mavericks,85,Toronto Raptors,93,,
628,7:00 PM,Box Score,Boston Celtics,113,Washington Wizards,111,OT,
629,8:00 PM,Box Score,Los Angeles Lakers,102,Miami Heat,109,,
630,10:30 PM,Box Score,Denver Nuggets,105,Portland Trail Blazers,110,,
631,7:30 PM,Box Score,San Antonio Spurs,105,Atlanta Hawks,79,,
632,7:30 PM,Box Score,Oklahoma City Thunder,101,Boston Celtics,83,,
633,7:30 PM,Box Score,Dallas Mavericks,106,Brooklyn Nets,107,,
634,8:00 PM,Box Score,Los Angeles Clippers,112,Chicago Bulls,95,,
635,7:30 PM,Box Score,Milwaukee Bucks,78,Cleveland Cavaliers,93,,
636,7:30 PM,Box Score,New Orleans Pelicans,103,Detroit Pistons,101,,
637,10:30 PM,Box Score,Minnesota Timberwolves,121,Golden State Warriors,120,,
638,8:00 PM,Box Score,Memphis Grizzlies,88,Houston Rockets,87,,
639,7:30 PM,Box Score,Charlotte Bobcats,96,New York Knicks,125,,
640,7:00 PM,Box Score,Los Angeles Lakers,105,Orlando Magic,114,,
641,7:00 PM,Box Score,Toronto Raptors,104,Philadelphia 76ers,95,,
642,9:00 PM,Box Score,Washington Wizards,101,Phoenix Suns,95,,
643,10:00 PM,Box Score,Indiana Pacers,116,Sacramento Kings,111,OT,
644,7:00 PM,Box Score,Chicago Bulls,89,Charlotte Bobcats,87,,
645,9:00 PM,Box Score,Indiana Pacers,96,Denver Nuggets,109,,
646,8:00 PM,Box Score,Houston Rockets,81,Memphis Grizzlies,99,,
647,8:30 PM,Box Score,Atlanta Hawks,112,Milwaukee Bucks,87,,
648,7:30 PM,Box Score,Oklahoma City Thunder,103,Philadelphia 76ers,91,,
649,10:00 PM,Box Score,Minnesota Timberwolves,104,Portland Trail Blazers,115,,
650,7:00 PM,Box Score,Los Angeles Clippers,126,Toronto Raptors,118,,
651,9:00 PM,Box Score,Washington Wizards,101,Utah Jazz,104,,
652,6:30 PM,Box Score,Brooklyn Nets,85,Boston Celtics,79,,
653,6:00 PM,Box Score,Phoenix Suns,99,Cleveland Cavaliers,90,,
654,7:30 PM,Box Score,Detroit Pistons,106,Dallas Mavericks,116,,
655,9:00 PM,Box Score,Portland Trail Blazers,88,Golden State Warriors,103,,
656,1:00 PM,Box Score,San Antonio Spurs,101,Miami Heat,113,,
657,6:00 PM,Box Score,Orlando Magic,92,New Orleans Pelicans,100,,
658,3:30 PM,Box Score,Los Angeles Lakers,103,New York Knicks,110,,
659,9:00 PM,Box Score,Denver Nuggets,125,Sacramento Kings,117,,
660,7:30 PM,Box Score,Toronto Raptors,104,Brooklyn Nets,103,,
661,8:00 PM,Box Score,Minnesota Timberwolves,95,Chicago Bulls,86,,
